timestamp,ch0_V_per_V,ch1_V_per_V,ch2_V_per_V,ch3_V_per_V
2026-04-20T18:45:44.415,0.00001331,-0.00064340,-0.00041542,-0.00022173
2026-04-20T18:45:44.416,0.00001331,-0.00064340,-0.00041542,-0.00022173
2026-04-20T18:45:44.418,0.00001331,-0.00064340,-0.00041493,-0.00022173
2026-04-20T18:45:44.419,0.00001348,-0.00064340,-0.00041493,-0.00022173
2026-04-20T18:45:44.421,0.00001348,-0.00064340,-0.00041493,-0.00022242
2026-04-20T18:45:44.422,0.00001348,-0.00064327,-0.00041493,-0.00022242
2026-04-20T18:45:44.424,0.00001348,-0.00064327,-0.00041493,-0.00022242
2026-04-20T18:45:44.425,0.00001348,-0.00064327,-0.00041411,-0.00022242
2026-04-20T18:45:44.427,0.00001349,-0.00064327,-0.00041411,-0.00022242
2026-04-20T18:45:44.429,0.00001349,-0.00064327,-0.00041411,-0.00022094
2026-04-20T18:45:44.430,0.00001349,-0.00064327,-0.00041411,-0.00022094
2026-04-20T18:45:44.432,0.00001349,-0.00064300,-0.00041411,-0.00022094
2026-04-20T18:45:44.433,0.00001349,-0.00064300,-0.00041304,-0.00022094
2026-04-20T18:45:44.435,0.00001338,-0.00064300,-0.00041304,-0.00022094
2026-04-20T18:45:44.436,0.00001338,-0.00064300,-0.00041304,-0.00022094
2026-04-20T18:45:44.438,0.00001338,-0.00064300,-0.00041304,-0.00022239
2026-04-20T18:45:44.439,0.00001338,-0.00064245,-0.00041304,-0.00022239
2026-04-20T18:45:44.441,0.00001338,-0.00064245,-0.00041192,-0.00022239
2026-04-20T18:45:44.442,0.00001357,-0.00064245,-0.00041192,-0.00022239
2026-04-20T18:45:44.444,0.00001357,-0.00064245,-0.00041192,-0.00022239
2026-04-20T18:45:44.445,0.00001357,-0.00064245,-0.00041192,-0.00022191
2026-04-20T18:45:44.447,0.00001357,-0.00064203,-0.00041192,-0.00022191
2026-04-20T18:45:44.449,0.00001357,-0.00064203,-0.00041103,-0.00022191
2026-04-20T18:45:44.450,0.00001353,-0.00064203,-0.00041103,-0.00022191
2026-04-20T18:45:44.452,0.00001353,-0.00064203,-0.00041103,-0.00022191
2026-04-20T18:45:44.453,0.00001353,-0.00064203,-0.00041103,-0.00022285
2026-04-20T18:45:44.455,0.00001353,-0.00064127,-0.00041103,-0.00022285
2026-04-20T18:45:44.456,0.00001353,-0.00064127,-0.00040976,-0.00022285
2026-04-20T18:45:44.458,0.00001353,-0.00064127,-0.00040976,-0.00022285
2026-04-20T18:45:44.459,0.00001354,-0.00064127,-0.00040976,-0.00022285
2026-04-20T18:45:44.461,0.00001354,-0.00064127,-0.00040976,-0.00022233
2026-04-20T18:45:44.462,0.00001354,-0.00064139,-0.00040976,-0.00022233
2026-04-20T18:45:44.464,0.00001354,-0.00064139,-0.00040976,-0.00022233
2026-04-20T18:45:44.465,0.00001354,-0.00064139,-0.00040935,-0.00022233
2026-04-20T18:45:44.467,0.00001339,-0.00064139,-0.00040935,-0.00022233
2026-04-20T18:45:44.469,0.00001339,-0.00064139,-0.00040935,-0.00022339
2026-04-20T18:45:44.470,0.00001339,-0.00064139,-0.00040935,-0.00022339
2026-04-20T18:45:44.472,0.00001339,-0.00064075,-0.00040935,-0.00022339
2026-04-20T18:45:44.473,0.00001339,-0.00064075,-0.00040830,-0.00022339
2026-04-20T18:45:44.475,0.00001350,-0.00064075,-0.00040830,-0.00022339
2026-04-20T18:45:44.476,0.00001350,-0.00064075,-0.00040830,-0.00022269
2026-04-20T18:45:44.478,0.00001350,-0.00064075,-0.00040830,-0.00022269
2026-04-20T18:45:44.479,0.00001350,-0.00064056,-0.00040830,-0.00022269
2026-04-20T18:45:44.481,0.00001350,-0.00064056,-0.00040694,-0.00022269
2026-04-20T18:45:44.482,0.00001340,-0.00064056,-0.00040694,-0.00022269
2026-04-20T18:45:44.484,0.00001340,-0.00064056,-0.00040694,-0.00022269
2026-04-20T18:45:44.486,0.00001340,-0.00064056,-0.00040694,-0.00022241
2026-04-20T18:45:44.487,0.00001340,-0.00064001,-0.00040694,-0.00022241
2026-04-20T18:45:44.489,0.00001340,-0.00064001,-0.00040598,-0.00022241
2026-04-20T18:45:44.490,0.00001349,-0.00064001,-0.00040598,-0.00022241
2026-04-20T18:45:44.492,0.00001349,-0.00064001,-0.00040598,-0.00022241
2026-04-20T18:45:44.493,0.00001349,-0.00064001,-0.00040598,-0.00022126
2026-04-20T18:45:44.495,0.00001349,-0.00064025,-0.00040598,-0.00022126
2026-04-20T18:45:44.496,0.00001349,-0.00064025,-0.00040551,-0.00022126
2026-04-20T18:45:44.498,0.00001349,-0.00064025,-0.00040551,-0.00022126
2026-04-20T18:45:44.499,0.00001328,-0.00064025,-0.00040551,-0.00022126
2026-04-20T18:45:44.501,0.00001328,-0.00064025,-0.00040551,-0.00022080
2026-04-20T18:45:44.502,0.00001328,-0.00063953,-0.00040551,-0.00022080
2026-04-20T18:45:44.504,0.00001328,-0.00063953,-0.00040551,-0.00022080
2026-04-20T18:45:44.506,0.00001328,-0.00063953,-0.00040462,-0.00022080
2026-04-20T18:45:44.507,0.00001343,-0.00063953,-0.00040462,-0.00022080
2026-04-20T18:45:44.509,0.00001343,-0.00063953,-0.00040462,-0.00022068
2026-04-20T18:45:44.510,0.00001343,-0.00063925,-0.00040462,-0.00022068
2026-04-20T18:45:44.512,0.00001343,-0.00063925,-0.00040462,-0.00022068
2026-04-20T18:45:44.513,0.00001343,-0.00063925,-0.00040369,-0.00022068
2026-04-20T18:45:44.515,0.00001345,-0.00063925,-0.00040369,-0.00022068
2026-04-20T18:45:44.516,0.00001345,-0.00063925,-0.00040369,-0.00022123
2026-04-20T18:45:44.518,0.00001345,-0.00063925,-0.00040369,-0.00022123
2026-04-20T18:45:44.519,0.00001345,-0.00063858,-0.00040369,-0.00022123
2026-04-20T18:45:44.521,0.00001345,-0.00063858,-0.00040324,-0.00022123
