timestamp,ch0_V_per_V
2026-04-06T23:02:20.777,0.00016629
2026-04-06T23:02:20.786,0.00019657
2026-04-06T23:02:20.794,0.00021205
2026-04-06T23:02:20.803,0.00022843
2026-04-06T23:02:20.811,0.00024426
2026-04-06T23:02:20.819,0.00025966
2026-04-06T23:02:20.828,0.00027548
2026-04-06T23:02:20.836,0.00029183
2026-04-06T23:02:20.844,0.00030951
2026-04-06T23:02:20.852,0.00032778
2026-04-06T23:02:20.861,0.00034522
2026-04-06T23:02:20.869,0.00036119
2026-04-06T23:02:20.878,0.00037589
2026-04-06T23:02:20.886,0.00038799
2026-04-06T23:02:20.894,0.00039733
2026-04-06T23:02:20.903,0.00040571
2026-04-06T23:02:20.911,0.00041455
2026-04-06T23:02:20.919,0.00042364
2026-04-06T23:02:20.928,0.00043213
2026-04-06T23:02:20.936,0.00044031
2026-04-06T23:02:20.944,0.00044804
2026-04-06T23:02:20.953,0.00045434
2026-04-06T23:02:20.961,0.00045892
2026-04-06T23:02:20.970,0.00046236
2026-04-06T23:02:20.978,0.00046450
2026-04-06T23:02:20.986,0.00046379
2026-04-06T23:02:20.995,0.00046201
2026-04-06T23:02:21.003,0.00045744
2026-04-06T23:02:21.012,0.00045015
2026-04-06T23:02:21.021,0.00044102
2026-04-06T23:02:21.029,0.00043064
2026-04-06T23:02:21.037,0.00041891
2026-04-06T23:02:21.046,0.00040601
2026-04-06T23:02:21.054,0.00039155
2026-04-06T23:02:21.062,0.00037830
2026-04-06T23:02:21.071,0.00036510
2026-04-06T23:02:21.079,0.00035131
2026-04-06T23:02:21.087,0.00033688
2026-04-06T23:02:21.096,0.00032152
2026-04-06T23:02:21.104,0.00030511
2026-04-06T23:02:21.113,0.00029028
2026-04-06T23:02:21.121,0.00027627
2026-04-06T23:02:21.130,0.00025075
2026-04-06T23:02:21.138,0.00023920
2026-04-06T23:02:21.146,0.00022773
2026-04-06T23:02:21.154,0.00021774
2026-04-06T23:02:21.163,0.00020852
2026-04-06T23:02:21.171,0.00020163
2026-04-06T23:02:21.180,0.00019704
2026-04-06T23:02:21.188,0.00019397
2026-04-06T23:02:21.196,0.00019099
2026-04-06T23:02:21.205,0.00018861
2026-04-06T23:02:21.213,0.00018536
2026-04-06T23:02:21.222,0.00018157
2026-04-06T23:02:21.230,0.00017702
2026-04-06T23:02:21.238,0.00017272
2026-04-06T23:02:21.247,0.00016852
2026-04-06T23:02:21.255,0.00016526
2026-04-06T23:02:21.263,0.00016343
2026-04-06T23:02:21.271,0.00016155
2026-04-06T23:02:21.280,0.00016145
2026-04-06T23:02:21.288,0.00016373
2026-04-06T23:02:21.297,0.00016702
2026-04-06T23:02:21.305,0.00017005
2026-04-06T23:02:21.314,0.00017288
2026-04-06T23:02:21.322,0.00017177
2026-04-06T23:02:21.331,0.00016989
2026-04-06T23:02:21.339,0.00016705
2026-04-06T23:02:21.348,0.00016379
2026-04-06T23:02:21.356,0.00016057
2026-04-06T23:02:21.364,0.00015716
2026-04-06T23:02:21.373,0.00015396
2026-04-06T23:02:21.381,0.00015151
2026-04-06T23:02:21.390,0.00014992
2026-04-06T23:02:21.398,0.00014829
2026-04-06T23:02:21.407,0.00014656
2026-04-06T23:02:21.415,0.00014527
2026-04-06T23:02:21.423,0.00014328
2026-04-06T23:02:21.432,0.00014051
2026-04-06T23:02:21.440,0.00013740
2026-04-06T23:02:21.448,0.00013305
2026-04-06T23:02:21.457,0.00012811
2026-04-06T23:02:21.465,0.00012270
2026-04-06T23:02:21.474,0.00011116
2026-04-06T23:02:21.482,0.00010537
2026-04-06T23:02:21.490,0.00009978
2026-04-06T23:02:21.499,0.00009531
2026-04-06T23:02:21.508,0.00009159
2026-04-06T23:02:21.516,0.00008792
2026-04-06T23:02:21.525,0.00008477
2026-04-06T23:02:21.533,0.00008152
2026-04-06T23:02:21.541,0.00007790
2026-04-06T23:02:21.550,0.00007418
2026-04-06T23:02:21.558,0.00007030
2026-04-06T23:02:21.567,0.00006607
2026-04-06T23:02:21.575,0.00006236
2026-04-06T23:02:21.583,0.00005951
2026-04-06T23:02:21.592,0.00005748
2026-04-06T23:02:21.600,0.00005614
2026-04-06T23:02:21.609,0.00005469
