timestamp,ch0_V_per_V,ch1_V_per_V,ch2_V_per_V,ch3_V_per_V
2026-04-15T21:53:28.881,0.00015454,0.00000046,0.00000712,0.00000602
2026-04-15T21:53:28.931,0.00021146,0.00000038,0.00000708,0.00000611
2026-04-15T21:53:28.981,0.00023382,0.00000028,0.00000705,0.00000615
2026-04-15T21:53:29.031,0.00023059,0.00000027,0.00000703,0.00000613
2026-04-15T21:53:29.082,0.00020684,0.00000023,0.00000702,0.00000618
2026-04-15T21:53:29.132,0.00015420,0.00000025,0.00000703,0.00000615
2026-04-15T21:53:29.183,0.00009365,0.00000026,0.00000706,0.00000617
2026-04-15T21:53:29.233,0.00005218,0.00000024,0.00000705,0.00000616
2026-04-15T21:53:29.284,0.00002034,0.00000016,0.00000711,0.00000621
2026-04-15T21:53:29.334,0.00001062,0.00000009,0.00000712,0.00000628
2026-04-15T21:53:29.384,0.00000879,0.00000004,0.00000707,0.00000632
2026-04-15T21:53:29.434,0.00000879,0.00000003,0.00000708,0.00000633
2026-04-15T21:53:29.484,0.00000846,0.00000002,0.00000713,0.00000639
2026-04-15T21:53:29.535,0.00000843,0.00000002,0.00000704,0.00000637
2026-04-15T21:53:29.585,0.00000839,0.00000004,0.00000710,0.00000636
2026-04-15T21:53:29.635,0.00000835,0.00000007,0.00000714,0.00000634
2026-04-15T21:53:29.685,0.00000841,0.00000004,0.00000715,0.00000639
2026-04-15T21:53:29.735,0.00000837,-0.00000003,0.00000719,0.00000645
2026-04-15T21:53:29.785,0.00000838,-0.00000010,0.00000718,0.00000646
2026-04-15T21:53:29.836,0.00000837,-0.00000016,0.00000720,0.00000641
2026-04-15T21:53:29.886,0.00000835,-0.00000019,0.00000717,0.00000643
2026-04-15T21:53:29.937,0.00000834,-0.00000020,0.00000716,0.00000642
2026-04-15T21:53:29.987,0.00000832,-0.00000012,0.00000716,0.00000637
2026-04-15T21:53:30.037,0.00000834,-0.00000015,0.00000715,0.00000635
2026-04-15T21:53:30.087,0.00000834,-0.00000015,0.00000717,0.00000636
2026-04-15T21:53:30.138,0.00000835,-0.00000027,0.00000713,0.00000645
2026-04-15T21:53:30.188,0.00000835,-0.00000035,0.00000720,0.00000645
2026-04-15T21:53:30.238,0.00000832,-0.00000034,0.00000715,0.00000644
2026-04-15T21:53:30.288,0.00000833,-0.00000034,0.00000719,0.00000646
2026-04-15T21:53:30.338,0.00000833,-0.00000034,0.00000719,0.00000647
2026-04-15T21:53:30.389,0.00000832,-0.00000032,0.00000722,0.00000646
2026-04-15T21:53:30.439,0.00000832,-0.00000031,0.00000718,0.00000642
2026-04-15T21:53:30.489,0.00000837,-0.00000043,0.00000729,0.00000648
2026-04-15T21:53:30.539,0.00000833,-0.00000046,0.00000726,0.00000657
2026-04-15T21:53:30.589,0.00000836,-0.00000056,0.00000722,0.00000667
2026-04-15T21:53:30.640,0.00000834,-0.00000061,0.00000720,0.00000670
2026-04-15T21:53:30.690,0.00000837,-0.00000068,0.00000712,0.00000665
2026-04-15T21:53:30.740,0.00000832,-0.00000063,0.00000717,0.00000665
2026-04-15T21:53:30.791,0.00000834,-0.00000065,0.00000718,0.00000665
2026-04-15T21:53:30.841,0.00000834,-0.00000063,0.00000726,0.00000670
2026-04-15T21:53:30.892,0.00000831,-0.00000070,0.00000728,0.00000670
2026-04-15T21:53:30.942,0.00000835,-0.00000073,0.00000729,0.00000678
2026-04-15T21:53:30.992,0.00000838,-0.00000086,0.00000728,0.00000679
2026-04-15T21:53:31.043,0.00000832,-0.00000090,0.00000720,0.00000678
2026-04-15T21:53:31.093,0.00000834,-0.00000095,0.00000713,0.00000680
2026-04-15T21:53:31.143,0.00000841,-0.00000094,0.00000713,0.00000683
2026-04-15T21:53:31.194,0.00000834,-0.00000090,0.00000713,0.00000680
2026-04-15T21:53:31.244,0.00000837,-0.00000092,0.00000711,0.00000678
2026-04-15T21:53:31.294,0.00000837,-0.00000101,0.00000712,0.00000683
2026-04-15T21:53:31.345,0.00000834,-0.00000106,0.00000712,0.00000685
2026-04-15T21:53:31.395,0.00000830,-0.00000114,0.00000707,0.00000694
2026-04-15T21:53:31.446,0.00000835,-0.00000123,0.00000707,0.00000694
2026-04-15T21:53:31.496,0.00000909,-0.00000118,0.00000701,0.00000692
2026-04-15T21:53:31.546,0.00001480,-0.00000125,0.00000689,0.00000690
2026-04-15T21:53:31.596,0.00004091,-0.00000127,0.00000687,0.00000692
2026-04-15T21:53:31.647,0.00008241,-0.00000121,0.00000691,0.00000690
2026-04-15T21:53:31.697,0.00011728,-0.00000125,0.00000689,0.00000694
2026-04-15T21:53:31.747,0.00014915,-0.00000129,0.00000682,0.00000700
2026-04-15T21:53:31.798,0.00018724,-0.00000143,0.00000681,0.00000707
2026-04-15T21:53:31.848,0.00022872,-0.00000149,0.00000678,0.00000709
2026-04-15T21:53:31.898,0.00026239,-0.00000155,0.00000667,0.00000705
2026-04-15T21:53:31.949,0.00027730,-0.00000151,0.00000662,0.00000705
2026-04-15T21:53:31.999,0.00027077,-0.00000151,0.00000662,0.00000705
2026-04-15T21:53:32.049,0.00021087,-0.00000149,0.00000655,0.00000712
2026-04-15T21:53:32.100,0.00011758,-0.00000150,0.00000654,0.00000717
2026-04-15T21:53:32.150,0.00006164,-0.00000153,0.00000651,0.00000719
2026-04-15T21:53:32.200,0.00002403,-0.00000166,0.00000645,0.00000721
2026-04-15T21:53:32.250,0.00001040,-0.00000180,0.00000637,0.00000723
2026-04-15T21:53:32.301,0.00000847,-0.00000177,0.00000630,0.00000728
2026-04-15T21:53:32.351,0.00000862,-0.00000171,0.00000628,0.00000724
2026-04-15T21:53:32.401,0.00000860,-0.00000167,0.00000617,0.00000719
2026-04-15T21:53:32.452,0.00000867,-0.00000163,0.00000614,0.00000721
2026-04-15T21:53:32.502,0.00000848,-0.00000161,0.00000606,0.00000718
2026-04-15T21:53:32.552,0.00000850,-0.00000164,0.00000592,0.00000720
2026-04-15T21:53:32.603,0.00000848,-0.00000165,0.00000578,0.00000724
2026-04-15T21:53:32.653,0.00000843,-0.00000167,0.00000570,0.00000724
2026-04-15T21:53:32.704,0.00000842,-0.00000156,0.00000556,0.00000718
2026-04-15T21:53:32.754,0.00000845,-0.00000151,0.00000547,0.00000723
2026-04-15T21:53:32.804,0.00000840,-0.00000141,0.00000541,0.00000721
2026-04-15T21:53:32.855,0.00000848,-0.00000138,0.00000530,0.00000720
2026-04-15T21:53:32.905,0.00000845,-0.00000134,0.00000520,0.00000716
2026-04-15T21:53:32.956,0.00000846,-0.00000132,0.00000516,0.00000724
2026-04-15T21:53:33.006,0.00000842,-0.00000135,0.00000506,0.00000726
2026-04-15T21:53:33.056,0.00000845,-0.00000142,0.00000496,0.00000725
2026-04-15T21:53:33.106,0.00000842,-0.00000137,0.00000481,0.00000728
2026-04-15T21:53:33.157,0.00000837,-0.00000140,0.00000478,0.00000723
2026-04-15T21:53:33.207,0.00000842,-0.00000135,0.00000468,0.00000725
2026-04-15T21:53:33.258,0.00000845,-0.00000129,0.00000465,0.00000726
2026-04-15T21:53:33.308,0.00000843,-0.00000129,0.00000462,0.00000723
2026-04-15T21:53:33.359,0.00000844,-0.00000132,0.00000455,0.00000723
2026-04-15T21:53:33.409,0.00000845,-0.00000140,0.00000443,0.00000728
2026-04-15T21:53:33.460,0.00000847,-0.00000142,0.00000436,0.00000731
2026-04-15T21:53:33.510,0.00000845,-0.00000138,0.00000427,0.00000732
2026-04-15T21:53:33.561,0.00000843,-0.00000136,0.00000417,0.00000732
2026-04-15T21:53:33.611,0.00000842,-0.00000131,0.00000412,0.00000735
2026-04-15T21:53:33.661,0.00000841,-0.00000128,0.00000410,0.00000731
2026-04-15T21:53:33.712,0.00000842,-0.00000131,0.00000409,0.00000730
2026-04-15T21:53:33.762,0.00000846,-0.00000131,0.00000405,0.00000732
2026-04-15T21:53:33.813,0.00000849,-0.00000134,0.00000401,0.00000731
2026-04-15T21:53:33.864,0.00000849,-0.00000142,0.00000394,0.00000735
