timestamp,pre_trigger,ch0_V_per_V,ch0_lbf
2026-05-18T22:09:43.186,1,0.00002338,-0.117121
2026-05-18T22:09:43.187,1,0.00002342,-0.112332
2026-05-18T22:09:43.188,1,0.00002338,-0.117017
2026-05-18T22:09:43.189,1,0.00002337,-0.118787
2026-05-18T22:09:43.190,1,0.00002332,-0.123368
2026-05-18T22:09:43.191,1,0.00002328,-0.128261
2026-05-18T22:09:43.192,1,0.00002381,-0.069127
2026-05-18T22:09:43.193,1,0.00002642,0.223005
2026-05-18T22:09:43.194,1,0.00003073,0.704097
2026-05-18T22:09:43.195,1,0.00003748,1.459413
2026-05-18T22:09:43.214,0,0.00011713,10.362467
2026-05-18T22:09:43.215,0,0.00007569,5.729893
2026-05-18T22:09:43.217,0,0.00006078,4.063304
2026-05-18T22:09:43.219,0,0.00004107,1.859924
2026-05-18T22:09:43.220,0,0.00003684,1.387890
2026-05-18T22:09:43.222,0,0.00003412,1.082952
2026-05-18T22:09:43.223,0,0.00003326,0.987692
2026-05-18T22:09:43.225,0,0.00002971,0.590305
2026-05-18T22:09:43.226,0,0.00002653,0.234874
2026-05-18T22:09:43.228,0,0.00001648,-0.888992
2026-05-18T22:09:43.229,0,0.00001180,-1.412247
2026-05-18T22:09:43.231,0,0.00000910,-1.713333
2026-05-18T22:09:43.232,0,0.00000990,-1.624527
2026-05-18T22:09:43.234,0,0.00001579,-0.965825
2026-05-18T22:09:43.235,0,0.00001957,-0.542931
2026-05-18T22:09:43.237,0,0.00002281,-0.181045
2026-05-18T22:09:43.239,0,0.00002775,0.371049
2026-05-18T22:09:43.240,0,0.00003142,0.781242
2026-05-18T22:09:43.242,0,0.00003339,1.001955
2026-05-18T22:09:43.243,0,0.00003390,1.058278
2026-05-18T22:09:43.245,0,0.00003206,0.852765
2026-05-18T22:09:43.246,0,0.00002654,0.235811
2026-05-18T22:09:43.248,0,0.00002035,-0.455582
2026-05-18T22:09:43.249,0,0.00001851,-0.661408
2026-05-18T22:09:43.251,0,0.00001753,-0.771452
