timestamp,pre_trigger,ch0_V_per_V,ch0_lbf
2026-05-18T22:10:54.920,1,0.00002324,-0.133363
2026-05-18T22:10:54.921,1,0.00002323,-0.133779
2026-05-18T22:10:54.922,1,0.00002327,-0.129198
2026-05-18T22:10:54.923,1,0.00002329,-0.126908
2026-05-18T22:10:54.924,1,0.00002331,-0.124617
2026-05-18T22:10:54.925,1,0.00002333,-0.122743
2026-05-18T22:10:54.926,1,0.00002363,-0.089741
2026-05-18T22:10:54.927,1,0.00002657,0.239871
2026-05-18T22:10:54.928,1,0.00003325,0.985818
2026-05-18T22:10:54.929,1,0.00004489,2.287190
2026-05-18T22:10:54.940,0,0.00030740,31.632205
2026-05-18T22:10:54.942,0,0.00027904,28.461853
2026-05-18T22:10:54.943,0,0.00020401,20.074975
2026-05-18T22:10:54.945,0,0.00012557,11.306327
2026-05-18T22:10:54.946,0,0.00009362,7.735048
2026-05-18T22:10:54.948,0,0.00006296,4.307545
2026-05-18T22:10:54.949,0,0.00002220,-0.248716
2026-05-18T22:10:54.951,0,0.00001700,-0.830274
2026-05-18T22:10:54.952,0,0.00002164,-0.311599
2026-05-18T22:10:54.954,0,0.00002350,-0.104004
2026-05-18T22:10:54.955,0,0.00002826,0.428206
2026-05-18T22:10:54.957,0,0.00003036,0.663077
2026-05-18T22:10:54.958,0,0.00002448,0.006249
2026-05-18T22:10:54.960,0,0.00002054,-0.434656
2026-05-18T22:10:54.962,0,0.00001593,-0.950000
2026-05-18T22:10:54.963,0,0.00001003,-1.609431
2026-05-18T22:10:54.965,0,0.00000889,-1.737486
2026-05-18T22:10:54.966,0,0.00001515,-1.037660
2026-05-18T22:10:54.968,0,0.00002353,-0.100672
2026-05-18T22:10:54.969,0,0.00002397,-0.051636
2026-05-18T22:10:54.971,0,0.00002851,0.455795
2026-05-18T22:10:54.972,0,0.00003173,0.815911
2026-05-18T22:10:54.974,0,0.00002764,0.359285
2026-05-18T22:10:54.975,0,0.00003232,0.882645
2026-05-18T22:10:54.977,0,0.00003013,0.637883
