timestamp,pre_trigger,ch0_V_per_V,ch0_lbf
2026-05-18T22:11:28.637,1,0.00001452,-1.107622
2026-05-18T22:11:28.638,1,0.00001453,-1.106269
2026-05-18T22:11:28.639,1,0.00001454,-1.104915
2026-05-18T22:11:28.640,1,0.00001459,-1.099502
2026-05-18T22:11:28.641,1,0.00001462,-1.097003
2026-05-18T22:11:28.642,1,0.00001464,-1.094504
2026-05-18T22:11:28.644,1,0.00001524,-1.027145
2026-05-18T22:11:28.645,1,0.00001913,-0.592799
2026-05-18T22:11:28.646,1,0.00003083,0.715132
2026-05-18T22:11:28.647,1,0.00004880,2.724660
2026-05-18T22:11:28.648,0,0.00004880,2.724660
2026-05-18T22:11:28.649,0,0.00009347,7.717974
2026-05-18T22:11:28.651,0,0.00010700,9.230481
2026-05-18T22:11:28.652,0,0.00010499,9.006125
2026-05-18T22:11:28.654,0,0.00010431,8.930021
2026-05-18T22:11:28.655,0,0.00010520,9.029758
2026-05-18T22:11:28.657,0,0.00009191,7.544007
2026-05-18T22:11:28.658,0,0.00007748,5.930097
2026-05-18T22:11:28.660,0,0.00006124,4.115463
2026-05-18T22:11:28.662,0,0.00004084,1.835042
2026-05-18T22:11:28.663,0,0.00003943,1.676482
2026-05-18T22:11:28.665,0,0.00004382,2.167256
2026-05-18T22:11:28.666,0,0.00004233,2.001305
2026-05-18T22:11:28.668,0,0.00003635,1.332920
2026-05-18T22:11:28.669,0,0.00002056,-0.432470
2026-05-18T22:11:28.671,0,0.00001629,-0.909918
2026-05-18T22:11:28.672,0,0.00001866,-0.644750
2026-05-18T22:11:28.674,0,0.00002029,-0.463182
2026-05-18T22:11:28.675,0,0.00001576,-0.968740
2026-05-18T22:11:28.677,0,0.00000619,-2.039197
2026-05-18T22:11:28.678,0,0.00000523,-2.146222
2026-05-18T22:11:28.680,0,0.00001172,-1.420784
2026-05-18T22:11:28.681,0,0.00001550,-0.998307
2026-05-18T22:11:28.683,0,0.00001693,-0.838498
2026-05-18T22:11:28.685,0,0.00001306,-1.271387
