timestamp,ch0_V_per_V
2026-04-06T23:02:12.898,0.00024846
2026-04-06T23:02:12.906,0.00026826
2026-04-06T23:02:12.915,0.00030582
2026-04-06T23:02:12.923,0.00032195
2026-04-06T23:02:12.931,0.00033685
2026-04-06T23:02:12.940,0.00034771
2026-04-06T23:02:12.948,0.00035517
2026-04-06T23:02:12.956,0.00036060
2026-04-06T23:02:12.965,0.00036517
2026-04-06T23:02:12.973,0.00037430
2026-04-06T23:02:12.981,0.00037606
2026-04-06T23:02:12.989,0.00037915
2026-04-06T23:02:12.998,0.00037745
2026-04-06T23:02:13.006,0.00037425
2026-04-06T23:02:13.014,0.00036891
2026-04-06T23:02:13.022,0.00035878
2026-04-06T23:02:13.030,0.00034326
2026-04-06T23:02:13.038,0.00032356
2026-04-06T23:02:13.047,0.00029970
2026-04-06T23:02:13.055,0.00027363
2026-04-06T23:02:13.063,0.00024708
2026-04-06T23:02:13.071,0.00022350
2026-04-06T23:02:13.079,0.00020402
2026-04-06T23:02:13.087,0.00018770
2026-04-06T23:02:13.095,0.00017181
2026-04-06T23:02:13.104,0.00015589
2026-04-06T23:02:13.112,0.00013872
2026-04-06T23:02:13.120,0.00012105
2026-04-06T23:02:13.128,0.00010481
2026-04-06T23:02:13.136,0.00009075
2026-04-06T23:02:13.144,0.00007852
2026-04-06T23:02:13.152,0.00006862
2026-04-06T23:02:13.160,0.00005997
2026-04-06T23:02:13.168,0.00005298
2026-04-06T23:02:13.177,0.00004775
2026-04-06T23:02:13.185,0.00004441
2026-04-06T23:02:13.193,0.00004182
2026-04-06T23:02:13.201,0.00003992
2026-04-06T23:02:13.210,0.00003848
2026-04-06T23:02:13.218,0.00003714
2026-04-06T23:02:13.226,0.00003575
2026-04-06T23:02:13.235,0.00003193
2026-04-06T23:02:13.243,0.00002953
2026-04-06T23:02:13.252,0.00002759
2026-04-06T23:02:13.260,0.00002614
2026-04-06T23:02:13.268,0.00002508
2026-04-06T23:02:13.276,0.00002438
2026-04-06T23:02:13.284,0.00002400
2026-04-06T23:02:13.293,0.00002396
2026-04-06T23:02:13.301,0.00002396
2026-04-06T23:02:13.309,0.00002354
2026-04-06T23:02:13.317,0.00002287
2026-04-06T23:02:13.326,0.00002165
2026-04-06T23:02:13.334,0.00002040
2026-04-06T23:02:13.342,0.00001942
2026-04-06T23:02:13.350,0.00001869
2026-04-06T23:02:13.359,0.00001814
2026-04-06T23:02:13.367,0.00001760
2026-04-06T23:02:13.375,0.00001713
2026-04-06T23:02:13.383,0.00001654
2026-04-06T23:02:13.392,0.00001636
2026-04-06T23:02:13.400,0.00001595
2026-04-06T23:02:13.409,0.00001549
2026-04-06T23:02:13.417,0.00001501
2026-04-06T23:02:13.425,0.00001458
2026-04-06T23:02:13.433,0.00001412
2026-04-06T23:02:13.442,0.00001381
2026-04-06T23:02:13.450,0.00001343
2026-04-06T23:02:13.458,0.00001322
2026-04-06T23:02:13.467,0.00001313
2026-04-06T23:02:13.475,0.00001325
2026-04-06T23:02:13.483,0.00001352
2026-04-06T23:02:13.492,0.00001368
2026-04-06T23:02:13.500,0.00001393
2026-04-06T23:02:13.508,0.00001397
2026-04-06T23:02:13.516,0.00001411
2026-04-06T23:02:13.524,0.00001388
2026-04-06T23:02:13.533,0.00001363
2026-04-06T23:02:13.541,0.00001348
2026-04-06T23:02:13.550,0.00001337
2026-04-06T23:02:13.558,0.00001314
2026-04-06T23:02:13.567,0.00001299
2026-04-06T23:02:13.575,0.00001294
2026-04-06T23:02:13.583,0.00001289
2026-04-06T23:02:13.591,0.00001289
2026-04-06T23:02:13.600,0.00001282
2026-04-06T23:02:13.608,0.00001268
2026-04-06T23:02:13.617,0.00001284
2026-04-06T23:02:13.625,0.00001285
2026-04-06T23:02:13.633,0.00001277
2026-04-06T23:02:13.642,0.00001283
2026-04-06T23:02:13.650,0.00001289
2026-04-06T23:02:13.659,0.00001296
2026-04-06T23:02:13.667,0.00001332
2026-04-06T23:02:13.676,0.00001318
2026-04-06T23:02:13.684,0.00001330
2026-04-06T23:02:13.693,0.00001319
2026-04-06T23:02:13.701,0.00001326
2026-04-06T23:02:13.709,0.00001322
2026-04-06T23:02:13.717,0.00001323
